Country,State,Region,Farm_ID,Year,Quarter,Week,Water_Weekly_L,Water_Daily_Avg_L,Nitrogen_Weekly,Phosphorus_Weekly,Potassium_Weekly,Calcium_Weekly,Magnesium_Weekly,Temperature_Avg_C,Sunlight_Hours,Humidity_Percent,Season,time_index,farm_time_index,week_sin,week_cos,quarter_sin,quarter_cos,total_fertiliser,temperature_x_humidity,sunlight_x_temperature,Water_Weekly_L_lag_1,Water_Weekly_L_lag_2,Water_Weekly_L_lag_4,Water_Weekly_L_lag_8,Water_Weekly_L_rolling_mean_2,Water_Weekly_L_rolling_mean_4,Water_Weekly_L_rolling_mean_8,Temperature_Avg_C_lag_1,Temperature_Avg_C_lag_2,Temperature_Avg_C_lag_4,Temperature_Avg_C_lag_8,Temperature_Avg_C_rolling_mean_2,Temperature_Avg_C_rolling_mean_4,Temperature_Avg_C_rolling_mean_8,Sunlight_Hours_lag_1,Sunlight_Hours_lag_2,Sunlight_Hours_lag_4,Sunlight_Hours_lag_8,Sunlight_Hours_rolling_mean_2,Sunlight_Hours_rolling_mean_4,Sunlight_Hours_rolling_mean_8,Humidity_Percent_lag_1,Humidity_Percent_lag_2,Humidity_Percent_lag_4,Humidity_Percent_lag_8,Humidity_Percent_rolling_mean_2,Humidity_Percent_rolling_mean_4,Humidity_Percent_rolling_mean_8,Nitrogen_Weekly_lag_1,Nitrogen_Weekly_lag_2,Nitrogen_Weekly_lag_4,Nitrogen_Weekly_lag_8,Nitrogen_Weekly_rolling_mean_2,Nitrogen_Weekly_rolling_mean_4,Nitrogen_Weekly_rolling_mean_8,Phosphorus_Weekly_lag_1,Phosphorus_Weekly_lag_2,Phosphorus_Weekly_lag_4,Phosphorus_Weekly_lag_8,Phosphorus_Weekly_rolling_mean_2,Phosphorus_Weekly_rolling_mean_4,Phosphorus_Weekly_rolling_mean_8,Potassium_Weekly_lag_1,Potassium_Weekly_lag_2,Potassium_Weekly_lag_4,Potassium_Weekly_lag_8,Potassium_Weekly_rolling_mean_2,Potassium_Weekly_rolling_mean_4,Potassium_Weekly_rolling_mean_8,Calcium_Weekly_lag_1,Calcium_Weekly_lag_2,Calcium_Weekly_lag_4,Calcium_Weekly_lag_8,Calcium_Weekly_rolling_mean_2,Calcium_Weekly_rolling_mean_4,Calcium_Weekly_rolling_mean_8,Magnesium_Weekly_lag_1,Magnesium_Weekly_lag_2,Magnesium_Weekly_lag_4,Magnesium_Weekly_lag_8,Magnesium_Weekly_rolling_mean_2,Magnesium_Weekly_rolling_mean_4,Magnesium_Weekly_rolling_mean_8
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2021,Q1,1,493817.9,70545.41428571429,26.5,9.8,15.8,6.4,4.4,18.257142857142856,7.442857142857143,76.84285714285714,Summer,0,0,0.4647231720437685,0.8854560256532099,1.0,6.123233995736766e-17,62.89999999999999,1402.9310204081632,135.88530612244898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2021,Q1,2,473001.7,67571.67142857143,23.5,9.9,14.9,6.6,4.6,18.857142857142858,7.685714285714285,75.24285714285715,Summer,1,1,0.8229838658936564,0.5680647467311559,1.0,6.123233995736766e-17,59.5,1418.865306122449,144.93061224489796,493817.9,,,,493817.9,493817.9,493817.9,18.257142857142856,,,,18.257142857142856,18.257142857142856,18.257142857142856,7.442857142857143,,,,7.442857142857143,7.442857142857143,7.442857142857143,76.84285714285714,,,,76.84285714285714,76.84285714285714,76.84285714285714,26.5,,,,26.5,26.5,26.5,9.8,,,,9.8,9.8,9.8,15.8,,,,15.8,15.8,15.8,6.4,,,,6.4,6.4,6.4,4.4,,,,4.4,4.4,4.4
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2021,Q1,3,505046.5,72149.5,24.6,8.8,16.3,6.8,4.1,18.642857142857142,7.985714285714286,78.85714285714286,Summer,2,2,0.992708874098054,0.120536680255323,1.0,6.123233995736766e-17,60.6,1470.1224489795918,148.8765306122449,473001.7,493817.9,,,483409.80000000005,483409.80000000005,483409.80000000005,18.857142857142858,18.257142857142856,,,18.557142857142857,18.557142857142857,18.557142857142857,7.685714285714285,7.442857142857143,,,7.564285714285714,7.564285714285714,7.564285714285714,75.24285714285715,76.84285714285714,,,76.04285714285714,76.04285714285714,76.04285714285714,23.5,26.5,,,25.0,25.0,25.0,9.9,9.8,,,9.850000000000001,9.850000000000001,9.850000000000001,14.9,15.8,,,15.350000000000001,15.350000000000001,15.350000000000001,6.6,6.4,,,6.5,6.5,6.5,4.6,4.4,,,4.5,4.5,4.5
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2021,Q1,4,479864.7,68552.1,27.2,9.8,16.5,6.8,4.5,20.542857142857144,7.928571428571429,79.08571428571429,Summer,3,3,0.9350162426854148,-0.35460488704253545,1.0,6.123233995736766e-17,64.8,1624.646530612245,162.87551020408165,505046.5,473001.7,,,489024.1,490622.0333333334,490622.0333333334,18.642857142857142,18.857142857142858,,,18.75,18.585714285714285,18.585714285714285,7.985714285714286,7.685714285714285,,,7.835714285714285,7.704761904761905,7.704761904761905,78.85714285714286,75.24285714285715,,,77.05000000000001,76.98095238095239,76.98095238095239,24.6,23.5,,,24.05,24.866666666666664,24.866666666666664,8.8,9.9,,,9.350000000000001,9.5,9.5,16.3,14.9,,,15.6,15.666666666666666,15.666666666666666,6.8,6.6,,,6.699999999999999,6.6000000000000005,6.6000000000000005,4.1,4.6,,,4.35,4.366666666666666,4.366666666666666
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2021,Q1,5,509625.2,72803.6,27.3,8.7,14.3,6.7,4.1,20.3,8.185714285714285,77.3,Summer,4,4,0.6631226582407952,-0.7485107481711012,1.0,6.123233995736766e-17,61.1,1569.19,166.17,479864.7,505046.5,493817.9,,492455.6,487932.7,487932.7,20.542857142857144,18.642857142857142,18.257142857142856,,19.59285714285714,19.075,19.075,7.928571428571429,7.985714285714286,7.442857142857143,,7.957142857142857,7.760714285714286,7.760714285714286,79.08571428571429,78.85714285714286,76.84285714285714,,78.97142857142858,77.50714285714287,77.50714285714287,27.2,24.6,26.5,,25.9,25.45,25.45,9.8,8.8,9.8,,9.3,9.575000000000001,9.575000000000001,16.5,16.3,15.8,,16.4,15.875,15.875,6.8,6.8,6.4,,6.8,6.65,6.65,4.5,4.1,4.4,,4.3,4.4,4.4
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2021,Q1,6,488330.6,69761.51428571428,25.3,9.5,14.4,6.7,4.9,19.485714285714288,7.857142857142857,77.22857142857143,Summer,5,5,0.23931566428755768,-0.970941817426052,1.0,6.123233995736766e-17,60.8,1504.8538775510206,153.10204081632654,509625.2,479864.7,473001.7,,494744.95,491884.52499999997,492271.2,20.3,20.542857142857144,18.857142857142858,,20.42142857142857,19.58571428571429,19.32,8.185714285714285,7.928571428571429,7.685714285714285,,8.057142857142857,7.946428571428571,7.845714285714285,77.3,79.08571428571429,75.24285714285715,,78.19285714285715,77.62142857142857,77.46571428571428,27.3,27.2,23.5,,27.25,25.65,25.82,8.7,9.8,9.9,,9.25,9.3,9.4,14.3,16.5,14.9,,15.4,15.5,15.559999999999999,6.7,6.8,6.6,,6.75,6.7250000000000005,6.659999999999999,4.1,4.5,4.6,,4.3,4.324999999999999,4.34
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2021,Q1,7,505372.6,72196.08571428571,24.1,9.6,16.8,7.2,4.6,20.714285714285715,7.871428571428572,77.37142857142858,Summer,6,6,-0.23931566428755743,-0.9709418174260521,1.0,6.123233995736766e-17,62.300000000000004,1602.6938775510207,163.05102040816328,488330.6,509625.2,505046.5,,498977.9,495716.75,491614.43333333335,19.485714285714288,20.3,18.642857142857142,,19.892857142857146,19.742857142857144,19.347619047619048,7.857142857142857,8.185714285714285,7.985714285714286,,8.02142857142857,7.989285714285715,7.847619047619047,77.22857142857143,77.3,78.85714285714286,,77.2642857142857,78.11785714285715,77.42619047619048,25.3,27.3,24.6,,26.3,26.1,25.733333333333334,9.5,8.7,8.8,,9.1,9.200000000000001,9.416666666666666,14.4,14.3,16.3,,14.350000000000001,15.375,15.366666666666667,6.7,6.7,6.8,,6.7,6.75,6.666666666666667,4.9,4.1,4.1,,4.5,4.4,4.433333333333334
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2021,Q1,8,507627.2,72518.17142857143,23.4,9.4,14.6,6.6,4.9,21.4,8.371428571428572,73.95714285714287,Summer,7,7,-0.663122658240795,-0.7485107481711013,1.0,6.123233995736766e-17,58.9,1582.6828571428573,179.14857142857142,505372.6,488330.6,479864.7,,496851.6,495798.27499999997,493579.8857142857,20.714285714285715,19.485714285714288,20.542857142857144,,20.1,20.260714285714286,19.542857142857144,7.871428571428572,7.857142857142857,7.928571428571429,,7.864285714285714,7.960714285714285,7.851020408163265,77.37142857142858,77.22857142857143,79.08571428571429,,77.30000000000001,77.74642857142857,77.41836734693878,24.1,25.3,27.2,,24.700000000000003,25.975,25.5,9.6,9.5,9.8,,9.55,9.399999999999999,9.442857142857141,16.8,14.4,16.5,,15.6,15.5,15.571428571428571,7.2,6.7,6.8,,6.95,6.85,6.742857142857143,4.6,4.9,4.5,,4.75,4.525,4.457142857142857
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2021,Q1,9,515470.2,73638.6,29.0,9.8,14.7,6.6,4.6,20.557142857142857,8.371428571428572,74.54285714285713,Summer,8,8,-0.9350162426854147,-0.3546048870425359,1.0,6.123233995736766e-17,64.7,1532.3881632653058,172.0926530612245,507627.2,505372.6,509625.2,493817.9,506499.9,502738.9,495335.8,21.4,20.714285714285715,20.3,18.257142857142856,21.057142857142857,20.475,19.775,8.371428571428572,7.871428571428572,8.185714285714285,7.442857142857143,8.121428571428572,8.071428571428571,7.916071428571429,73.95714285714287,77.37142857142858,77.3,76.84285714285714,75.66428571428573,76.46428571428572,76.9857142857143,23.4,24.1,27.3,26.5,23.75,25.025000000000002,25.2375,9.4,9.6,8.7,9.8,9.5,9.3,9.4375,14.6,16.8,14.3,15.8,15.7,15.025,15.45,6.6,7.2,6.7,6.4,6.9,6.800000000000001,6.725,4.9,4.6,4.1,4.4,4.75,4.625,4.5125
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2021,Q1,10,492208.6,70315.51428571428,24.6,11.1,15.4,6.4,4.1,21.314285714285717,8.628571428571428,74.14285714285714,Summer,9,9,-0.992708874098054,0.1205366802553232,1.0,6.123233995736766e-17,61.6,1580.3020408163266,183.91183673469388,515470.2,507627.2,488330.6,473001.7,511548.7,504200.15,498042.3375,20.557142857142857,21.4,19.485714285714288,18.857142857142858,20.978571428571428,20.539285714285715,20.0625,8.371428571428572,8.371428571428572,7.857142857142857,7.685714285714285,8.371428571428572,8.117857142857144,8.032142857142857,74.54285714285713,73.95714285714287,77.22857142857143,75.24285714285715,74.25,75.775,76.69821428571429,29.0,23.4,25.3,23.5,26.2,25.450000000000003,25.55,9.8,9.4,9.5,9.9,9.600000000000001,9.575,9.4375,14.7,14.6,14.4,14.9,14.649999999999999,15.124999999999998,15.3125,6.6,6.6,6.7,6.6,6.6,6.7749999999999995,6.75,4.6,4.9,4.9,4.6,4.75,4.75,4.5375
