Country,State,Region,Farm_ID,Year,Quarter,Week,Water_Weekly_L,Water_Daily_Avg_L,Nitrogen_Weekly,Phosphorus_Weekly,Potassium_Weekly,Calcium_Weekly,Magnesium_Weekly,Temperature_Avg_C,Sunlight_Hours,Humidity_Percent
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2021,1,1,493817.9,70545.41428571429,26.5,9.8,15.8,6.4,4.4,18.257142857142856,7.442857142857143,76.84285714285714
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2021,1,2,473001.7,67571.67142857143,23.5,9.9,14.9,6.6,4.6,18.857142857142858,7.685714285714285,75.24285714285715
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2021,1,3,505046.5,72149.5,24.6,8.8,16.3,6.8,4.1,18.642857142857142,7.985714285714286,78.85714285714286
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2021,1,4,479864.7,68552.1,27.2,9.8,16.5,6.8,4.5,20.542857142857144,7.928571428571429,79.08571428571429
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2021,1,5,509625.2,72803.6,27.3,8.7,14.3,6.7,4.1,20.3,8.185714285714285,77.3
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2021,1,6,488330.6,69761.51428571428,25.3,9.5,14.4,6.7,4.9,19.485714285714288,7.857142857142857,77.22857142857143
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2021,1,7,505372.6,72196.08571428571,24.1,9.6,16.8,7.2,4.6,20.714285714285715,7.871428571428572,77.37142857142858
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2021,1,8,507627.2,72518.17142857143,23.4,9.4,14.6,6.6,4.9,21.400000000000002,8.371428571428572,73.95714285714287
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2021,1,9,515470.2,73638.6,29.0,9.8,14.7,6.6,4.6,20.557142857142857,8.371428571428572,74.54285714285713
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2021,1,10,492208.6,70315.51428571428,24.6,11.1,15.4,6.4,4.1,21.314285714285713,8.628571428571428,74.14285714285714
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2021,1,11,486187.7,69455.38571428572,23.6,9.6,16.9,7.0,4.9,21.62857142857143,8.642857142857142,73.87142857142858
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2021,1,12,514355.3,73479.32857142857,26.6,9.3,15.8,6.5,4.4,20.599999999999998,8.671428571428573,75.0
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2021,1,13,497951.5,71135.92857142857,26.2,9.1,16.6,7.5,4.3,22.714285714285715,8.857142857142858,72.08571428571429
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2021,2,1,435136.8,62162.4,19.8,8.1,12.0,5.4,3.4,13.914285714285715,5.457142857142857,82.07142857142857
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2021,2,2,413416.2,59059.45714285714,18.6,6.8,12.8,6.5,3.2,14.771428571428572,6.042857142857143,82.07142857142857
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2021,2,3,427268.5,61038.357142857145,17.6,7.5,11.9,5.7,3.8,13.271428571428572,6.042857142857143,81.25714285714285
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2021,2,4,423435.1,60490.72857142857,17.8,7.1,12.9,6.2,3.5,13.771428571428572,5.971428571428571,80.62857142857142
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2021,2,5,424590.4,60655.77142857143,19.4,6.9,11.0,5.5,3.6,13.814285714285715,5.8428571428571425,77.85714285714286
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2021,2,6,412939.7,58991.385714285716,17.7,7.6,10.9,5.6,3.8,15.6,6.371428571428572,75.84285714285714
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2021,2,7,421953.5,60279.07142857143,17.3,6.5,11.2,5.9,3.5,14.942857142857141,6.3999999999999995,79.84285714285714
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2021,2,8,424789.3,60684.18571428571,18.0,6.9,12.1,5.7,3.3,15.557142857142859,6.628571428571428,75.17142857142858
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2021,2,9,413089.9,59012.84285714286,20.1,7.0,11.9,6.1,3.2,15.271428571428572,6.214285714285714,75.67142857142858
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2021,2,10,428768.3,61252.614285714284,19.5,6.4,11.0,5.7,3.4,16.32857142857143,6.771428571428571,79.31428571428572
